ED1,ED2,ED3,ED4,ED5,ED6,ED7,ED8,ED9,ED10,ED11,ED12,ED13,ED14,ED15,ED16,ED17,ED18,ED19,ED20,ED21,ED22,ED23,ED24,ED25,ED26,ED27,ED28,ED29,ED30,ED31,ED32,ED33,ED34,ED35
195.12560057562922,41.43669871020132,442.3403666861075,21.470910553583888,212.0,17.46424919657298,493.85524194848836,204.70710783946902,346.39428401750513,545.1467692282511,272.9175699730598,398.5285435197835,16.76305461424021,323.2228333518534,109.12836478203089,221.472345903501,60.108235708594876,135.00370365289984,841.1070086499101,99.18165152889924,144.80676779764127,134.3726162579266,357.80581325629686,48.104053883222775,28.30194339616981,70.3846574190711,556.0332723857449,155.2932709424333,106.38138934982942,69.02897942168927,60.8276253029822,269.1635190734435,477.3468340735068,185.42114226808118,558.1442465886395
150.2165104108067,36.138621999185304,233.20591759215716,70.25667228100119,209.69024774652732,353.7188148798421,94.36630754670864,37.0,436.4584745425388,115.39497389401325,165.59287424282482,387.00129198750744,229.53213282675696,231.14497615133234,81.58431221748455,57.87054518492115,110.86027241532469,471.05201411309133,401.59805776422775,343.0874524082745,81.15417426109393,113.25193155085701,438.525939939703,139.6030085635693,63.788713735268246,664.1460682711296,441.4034435751493,188.60540819393276,100.34440691936945,151.19854496654392,133.2216198670471,572.0034964928099,277.72108310317384,156.0833110873805,78.5175139698144
285.89683454001374,6.4031242374328485,666.5883287307091,51.15662224971465,17.26267650163207,371.1711195661645,550.9863882166237,173.44163283364233,120.2538980657176,462.8271815699679,149.88328792764054,256.6807355451515,214.57399656062708,98.49365461794989,153.16984037335808,191.12561314486345,65.30696746902278,336.0952246016001,524.3891684617446,307.7661449867415,72.42237223399962,208.90667772955464,106.21675950620975,151.92432326655268,77.52418977325722,636.5312246857966,154.31137352768266,86.02325267042627,174.41330224498358,206.34437234875102,175.45369759569047,508.5754614607354,216.09488656606385,223.02690420664499,501.98007928602107
133.52153384379613,258.8609665438187,52.55473337388365,24.73863375370596,113.70136322841516,479.5518741491894,105.09519494249011,29.068883707497267,479.29218645832316,490.14793685172236,133.6899397860587,305.81203377238114,186.1316738225926,20.024984394500787,166.388100536066,81.54140052758476,103.75451797391764,515.2591580942545,103.69667304209909,68.0294054067798,115.93532679903913,244.20073709962466,402.8697059844535,57.62811813689564,44.721359549995796,667.1828834734896,400.38481489686893,130.080744155313,138.84163640637487,98.2700361249552,38.07886552931954,447.11519768399734,664.5539857678983,170.31735084835015,45.18849411078001
269.2842364491468,218.15590755237412,494.8949383455038,16.76305461424021,143.38758663147937,496.97987886835017,597.6704777718237,176.7993212656655,133.30416347586447,135.83077707206124,275.1817581163403,294.7303852676205,176.32356620712955,324.09875038327436,58.463663928973865,289.70502239346837,50.15974481593781,380.61266400370863,894.8407679581882,122.00409829181969,52.15361924162119,336.4312708414603,49.24428900898052,78.00640999302557,70.43436661176133,635.2550668825869,327.96493715029965,33.12099032335839,228.37250272307304,166.97305171793442,90.52071586106685,336.04315199093105,238.1344158243407,346.2556858738929,582.2379238764854
17.804493814764857,224.18965185752887,184.62123388169627,47.53945729601885,150.20652449211386,132.84953895290718,110.21796586763884,26.076809620810597,92.61209424259879,432.2603382222338,125.93649193144932,97.94386147176351,103.24727599312246,229.7063342618135,198.72845795205075,138.52075656738234,22.02271554554524,60.81118318204309,491.5973962502243,404.8567647946617,71.58910531638176,132.9661611087573,101.59232254457027,196.596032513375,41.340053217188775,44.01136216933077,177.15812146215595,76.55716818169282,59.00847396772772,118.43141475132347,95.42536350467836,176.91806012954132,387.1136783943445,193.12690128513947,122.24974437601087
74.62573282722254,72.44998274671983,79.90619500389191,241.3565826738521,106.3202708800161,375.7778599119432,33.13608305156178,167.1556161186336,456.12717524830725,491.9725602104247,238.51624682608102,229.1571513176056,116.93160394008115,342.6908227542722,66.03029607687671,126.17844506887855,151.8453160291749,447.0044742505381,309.00647242412253,365.0342449688796,56.142675390472796,94.93682109698007,406.90662319505196,57.245087125446844,86.05230967266364,684.6911712589845,495.97177339038154,221.7746604100658,106.10372283760829,120.41594578792295,85.98255637046388,467.0642354109336,80.72174428244226,365.6364314452268,108.01851693112621
170.07351351694948,55.78530272392541,516.768807108169,249.43536236869062,114.0175425099138,392.3901120058965,501.52268144122854,362.8002205070995,112.53888216967503,278.1150840928985,249.24285345822858,282.82149847562863,109.12378292562992,28.42534080710379,97.94386147176351,95.29428104561154,111.08555261599052,312.01442274356486,638.4888409361592,333.2461552666437,200.24235316236172,188.4489320744482,59.54829972383762,17.46424919657298,93.74433316206373,654.0275223566666,369.6281915655244,152.64337522473747,198.58751219550538,117.27318534089538,142.13022197970423,415.1457575358322,484.4213042383665,448.1885763827543,506.0839851249988
119.00420160649792,59.841457201508724,153.52524222420234,293.51831288694746,107.78682665335315,105.11898020814318,120.2538980657176,204.08331631958552,66.48308055437865,466.56725131539184,124.39051410778879,160.80111939908875,145.49914089093448,113.07077429645558,56.639209034025185,101.04454463255303,45.880278987817846,24.515301344262525,118.33849753989612,627.9211733967887,137.00364958642524,20.808652046684813,115.13470371699404,169.38713056191725,146.2942240828393,36.71511950137164,238.0273093575609,67.91170738539859,165.60495161679194,148.44864431849825,66.64082832618455,105.19030373565806,271.4498111990502,521.2945424613613,141.73566946961517
101.53324578678651,208.806130178211,37.8549864614954,263.3723599772763,102.95630140987001,193.2174940319846,98.00510190801293,190.18412131405714,29.0,143.17122615944868,120.20399327809372,78.08969202141856,71.17583859709698,342.28642976314444,142.13022197970423,196.65706191235543,65.29931086925804,77.02596964660685,407.3818847224309,306.6626811335217,166.9281282468596,153.44380078712857,15.132745950421556,72.56721022610694,112.27199116431488,22.47220505424423,103.22790320451152,136.82470537150812,166.9281282468596,186.45374761586316,51.66236541235796,108.70602559196064,648.6447409792205,435.59843893200537,97.16995420396162
