conv1,conv2,conv3,conv4,conv5,conv6,conv7,conv8,conv9,conv10,conv11,conv12,conv13,fc6,fc7
0.8635828495025635,0.9523873925209045,0.9138627648353577,0.9393090009689331,0.9132338762283325,0.942078709602356,0.9460882544517517,0.9402436017990112,0.9408064484596252,0.9698911905288696,0.9570373892784119,0.9607571959495544,0.9914013743400574,0.9740439057350159,1.0227582454681396
0.849105179309845,0.9449345469474792,0.9150246977806091,0.9424113035202026,0.9107290506362915,0.9304096698760986,0.944337010383606,0.9365385174751282,0.9378970861434937,0.9570421576499939,0.93443763256073,0.9402318596839905,0.9911234378814697,0.9782733917236328,0.9934012293815613
0.8308351635932922,0.9214575290679932,0.8524523973464966,0.8722077012062073,0.8348596692085266,0.8945609927177429,0.9030518531799316,0.9004613757133484,0.9083486795425415,0.9219131469726562,0.8485203385353088,0.8473207354545593,0.872774600982666,0.8037081956863403,0.7762341499328613
0.8548915386199951,0.9557679295539856,0.9361190795898438,0.9634116291999817,0.9354535937309265,0.9489522576332092,0.9594131112098694,0.9574709534645081,0.9557231664657593,0.9726232886314392,0.9675707221031189,0.984606146812439,1.0047192573547363,1.0132089853286743,1.0258424282073975
0.8567053079605103,0.9626274108886719,0.9096596837043762,0.9298595190048218,0.9081037044525146,0.9377378225326538,0.9456144571304321,0.9369400143623352,0.9346884489059448,0.9253795146942139,0.891857385635376,0.8909662365913391,0.873734712600708,0.811650276184082,0.579460620880127
0.8443737626075745,0.9530116319656372,0.9140636324882507,0.9524481296539307,0.9287668466567993,0.9529820680618286,0.9565089344978333,0.9458199739456177,0.9330551624298096,0.946505069732666,0.8983638882637024,0.8905559182167053,0.9549604654312134,0.9657014608383179,0.9475805163383484
0.8861473798751831,0.9668309092521667,0.929401695728302,0.9589886665344238,0.916287362575531,0.9348368644714355,0.9468658566474915,0.927205502986908,0.922672688961029,0.9458283185958862,0.8990017771720886,0.8899095058441162,0.933242917060852,0.7863016724586487,0.7328370809555054
0.8973642587661743,0.9634125232696533,0.8913438320159912,0.9275285601615906,0.9018697738647461,0.940656304359436,0.9476768374443054,0.941217839717865,0.9538173675537109,0.9684601426124573,0.9525237679481506,0.9519872069358826,0.9863909482955933,0.9570666551589966,1.0192795991897583
0.8655953407287598,0.9367057085037231,0.8879519701004028,0.9206101894378662,0.8830885887145996,0.9281231760978699,0.942707896232605,0.9262437224388123,0.9308596849441528,0.9579634666442871,0.9351022243499756,0.9494733214378357,0.9867214560508728,0.9472639560699463,0.9593507647514343
0.8735509514808655,0.9682559967041016,0.9172133803367615,0.96290522813797,0.927074134349823,0.9382737278938293,0.9534990191459656,0.9388048052787781,0.9363066554069519,0.9567179679870605,0.9321049451828003,0.9543598890304565,0.9992365837097168,1.0123677253723145,1.0623714923858643
