stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,text.started,stimulus_image.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.010962703373024851,0.03244848438862391,0.03244848438862391,1.314731253825812,space,1.2714455105005982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
,,,,,,,,,,,,,,1.3147509257942147,1.326107068537567,1.326107068537567,2.2792005426040305,space,0.9418151638947165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
,,,,,,,,,,,,,,,,,,,,,2.2792193592695185,2.29055155352944,2.29055155352944,3.490612907263312,return,1.1914128151183832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_101.jpg,0,0,0,3,3.527559144913539,,,,,,,,,,,,,,,,,,,,,,,3.511132481014556,3.527559144913539,4.4921079768691925,4.492116529898794,4.515531304231445,5.503500897640606,5.515182625717443,6.501187588185076,6.5129445829243195,6.748239287544038,6.748247555472972,6.761928696811992,6.761928696811992,6.761928696811992,6.761928696811992,6.761928696811992,6.761928696811992,0.007640920431640552,7.715070352946441,[-225.0],[-99.0],[1],[0],[0],[0.9664749742623826],7.716410327612266,7.720358406159903,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_63.jpg,0,1,1,152,7.749956450823447,,,,,,,,,,,,,,,,,,,,,,,7.720741011692098,,7.720774653609624,7.720781781134065,7.749956450823447,8.737923193222286,8.74960549150137,9.723848042311147,9.747371440122151,9.970880354802375,9.970888052529062,9.98260114171535,9.98260114171535,9.98260114171535,9.98260114171535,9.98260114171535,9.98260114171535,0.00012736886856146157,10.488734091720744,[-240.0],[76.0],[1],[0],[0],[0.5175153220397988],10.489118692960346,10.492227719285893,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_91.jpg,0,2,2,183,10.5139196283194,,,,,,,,,,,,,,,,,,,,,,,10.492461502100014,,10.492490012199596,10.492496284421122,10.5139196283194,11.513649067477218,11.525331080655178,12.499572776162495,12.523095603771253,12.746605943956638,12.746613641683325,12.760312744384919,12.760312744384919,12.760312744384919,12.760312744384919,12.760312744384919,12.760312744384919,0.004137029230605549,13.489891886852547,[-207.0],[-11.0],[1],[0],[0],[0.7429386898870689],13.490271071173083,13.493316805078393,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_90.jpg,0,3,3,182,13.524875204167984,,,,,,,,,,,,,,,,,,,,,,,13.49354488587278,,13.493573395971907,13.493579668193888,13.524875204167984,14.51284251676907,14.524540780703319,15.498767080756807,15.522290478567811,15.745799678349158,15.745807376075845,15.75951446160525,15.75951446160525,15.75951446160525,15.75951446160525,15.75951446160525,15.75951446160525,0.002247664951482875,16.971216203771746,[-216.0],[166.0],[1],[0],[0],[1.225065851202089],16.971568588598984,16.974499711905537,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_98.jpg,0,4,4,190,16.994595340480373,,,,,,,,,,,,,,,,,,,,,,,16.974729503305753,,16.97475801340488,16.97476457072753,16.994595340480373,17.994262057419746,18.005948347112735,18.980185766105024,19.00373368260125,19.22721978920208,19.227227201827645,19.24091433028798,19.24091433028798,19.24091433028798,19.24091433028798,19.24091433028798,19.24091433028798,0.002482873270764685,19.66469272242648,[-249.0],[245.0],[1],[0],[0],[0.43711883779178606],19.665094144624163,19.668156984589587,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neg_154.jpg,0,5,5,61,19.68785489727952,,,,,,,,,,,,,,,,,,,,,,,19.668385065383518,,19.668416141391845,19.66842326891674,19.68785489727952,20.687680415471732,20.699339905671422,21.673581030976493,21.697107564898033,21.92061191796256,21.920619045487456,21.93428165526211,21.93428165526211,21.93428165526211,21.93428165526211,21.93428165526211,21.93428165526211,0.002216018741364678,23.710673810537173,[-202.0],[256.0],[1],[0],[0],[1.789554983009566],23.711052709756586,23.713994381799694,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
neu_126.jpg,0,6,6,222,23.745658268256648,,,,,,,,,,,,,,,,,,,,,,,23.7142273093109,,23.714259525723264,23.71426693834883,23.745658268256648,24.73364439752322,24.745315006661258,25.71955641706745,25.743081810584954,25.966585308346566,25.966592720972585,25.980275002715643,25.980275002715643,25.980275002715643,25.980275002715643,25.980275002715643,25.980275002715643,0.002346594996197382,28.403808778202347,[-9.0],[7.0],[1],[0],[0],[2.436831455990614],28.404216757723134,28.407320937332315,None,,,,,,,,,,,,,,ED29,001,2024-02-02_14h53.22.509,rating,2023.2.3,85.0015388604372,2024-02-02 14h53.33.694120 +0800,
