stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,stimulus_image.stopped,text.started,text.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.02124897150679317,0.05457899769589858,0.05457899769589858,12.755041541721766,space,12.691874517826363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
,,,,,,,,,,,,,,12.755059788034487,12.787910278319032,12.787910278319032,15.471665187004874,space,2.677632700585491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
,,,,,,,,,,,,,,,,,,,,,15.471684858810477,15.504595219807925,15.504595219807925,18.655040344307963,return,3.1400829294907453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_175.jpg,0,0,0,84,18.687977219478853,,,,,,,,,,,,,,,,,,,,,,,18.675484767464695,18.687977219478853,19.671342284290404,19.67135140744631,19.704629260585534,20.654656316445653,20.704630400980022,21.654633793653375,21.654633793653375,21.90464106366835,21.888168064505408,21.888177472760617,21.90464106366835,21.90464106366835,21.90464106366835,21.90464106366835,21.90464106366835,21.90464106366835,-0.0003587966330087511,25.071752484206627,[-207.0],[98.0],[1],[0],[0],[3.1668260368041956],25.073110694106617,25.077183328116007,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_152.jpg,0,1,1,251,25.10468764878533,,,,,,,,,,,,,,,,,,,,,,,25.07756621558383,,25.077598716828106,25.077605559195035,25.10468764878533,26.087993413080767,26.10466512599396,27.088027910015626,27.088027910015626,27.338027767466883,27.321572444418962,27.32158099737717,27.338027767466883,27.338027767466883,27.338027767466883,27.338027767466883,27.338027767466883,27.338027767466883,0.010484929971426027,31.02178609733619,[5.0],[-367.0],[1],[0],[0],[3.6834569806114814],31.02218266953787,31.025233795136046,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_3.jpg,0,2,2,115,31.054727819183427,,,,,,,,,,,,,,,,,,,,,,,31.02546586542576,,31.025496941176243,31.02550378354408,31.054727819183427,32.03804099604349,32.05470615168724,33.03804384702926,33.03804384702926,33.288046270367886,33.27157555199392,33.27158353475534,33.288046270367886,33.288046270367886,33.288046270367886,33.288046270367886,33.288046270367886,33.288046270367886,0.012599791650245606,37.45517593721888,[-136.0],[-347.0],[1],[0],[0],[4.1668300281844495],37.45557279451987,37.45862876679439,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_12.jpg,0,3,3,23,37.48808230683608,,,,,,,,,,,,,,,,,,,,,,,37.458856560604545,,37.45888706615824,37.458893623426775,37.48808230683608,38.47141401510635,38.48808430252575,39.47142228296707,39.47142228296707,39.72144580360418,39.70495712401589,39.7049659620734,39.72144580360418,39.72144580360418,39.72144580360418,39.72144580360418,39.72144580360418,39.72144580360418,0.012630297203941154,42.58853110910786,[-314.0],[280.0],[1],[0],[0],[2.8667451828305275],42.58892711111275,42.59197994730221,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_9.jpg,0,4,4,373,42.62144204030301,,,,,,,,,,,,,,,,,,,,,,,42.59221087719743,,42.592241952948825,42.592248795315754,42.62144204030301,43.604785437617466,43.621473116053494,44.60479085449151,44.60479085449151,44.85479698411291,44.838346507741335,44.838354775602056,44.85479698411291,44.85479698411291,44.85479698411291,44.85479698411291,44.85479698411291,44.85479698411291,0.012602357538526121,48.888572049271716,[-66.0],[-264.0],[1],[0],[0],[4.033485119846773],48.888971757558465,48.89201147921176,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neu_150.jpg,0,5,5,249,48.92149210362277,,,,,,,,,,,,,,,,,,,,,,,48.89224126871159,,48.892272629561376,48.892279471929214,48.92149210362277,49.90482637778223,49.92149466951105,50.90487113826748,50.90487113826748,51.154832507402716,51.13836920159247,51.138377754551584,51.154832507402716,51.154832507402716,51.154832507402716,51.154832507402716,51.154832507402716,51.154832507402716,0.012607774411662831,55.82197528879078,[175.0],[40.0],[1],[0],[0],[4.666852550976728],55.822375282175926,55.82547202355636,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
neg_108.jpg,0,6,6,10,55.85486854387,,,,,,,,,,,,,,,,,,,,,,,55.825700672661696,,55.825731463314696,55.82573859078002,55.85486854387,56.83823760006271,56.854867688573904,57.83821935374999,57.83821935374999,58.088224057877596,58.071747922628674,58.07175647558779,58.088224057877596,58.088224057877596,58.088224057877596,58.088224057877596,58.088224057877596,58.088224057877596,0.012580119843732973,62.27199350659339,[-305.0],[195.0],[1],[0],[0],[4.183425619761692],62.272395495669116,62.27543208123734,None,,,,,,,,,,,,,ED20,001,2024-01-26_14h30.58.458,rating,2023.2.3,60.017453111753966,2024-01-26 14h31.13.294879 +0800,
