d1,d2,d3
0.8158076426770516,0.6424845230945906,0.5071705072680086
0.6456367521216155,0.5173169497370882,0.6873946454217252
0.8042371832335272,0.25524044695978954,0.5225326597638967
0.5363555115823629,0.49452469987674896,0.6223208909219862
0.614839508380879,0.44363103909587864,0.6388548678832665
0.3929652744983676,0.33420787455409906,0.6465909463756292
0.7322424508041758,0.7779712028192328,0.6043403001871026
0.3583386225521512,0.6159684494320826,0.5011097359126228
0.6107505279192385,0.7010626055786109,0.6909809996916596
0.6880999107042155,0.7648611910408213,0.7044046289661772
0.8217776356822606,0.48344490025340425,0.5843040386332752
0.7114210423642432,0.28204103286347293,0.6384401069534963
0.385589602143805,0.3017002658019906,0.5784497805448288
0.6205855671651559,0.36393168030515755,0.5843154826503052
0.4865286737379494,0.5933281592115756,0.6140816539443631
0.9875447169417286,0.8396420629502634,0.6175827332541987
0.6248810487202646,0.5410497659707948,0.9226061162443415
0.6921856721374877,0.6077962806344004,0.8965435905326065
0.7573551280939609,0.5064251565336231,0.9457103285969363
0.5547656733219439,0.7071277300066692,0.6541427680669627
0.4913346504297903,0.6019543583020552,0.7525507033524554
0.8164986247988409,0.6213273057406118,1.0
0.3795993027311907,0.874377556186428,0.875565796632349
1.123473170937156,0.909997152926133,0.8941487751950074
1.0928721811677373,0.7595592516566142,0.9563564219528016
0.5418102050473431,0.5322852219677019,0.6496754751273146
0.9296208866727118,0.784273978652317,0.8143366699828303
0.7458760276022325,0.7760875245749932,0.5261208977927261
0.6314388981212782,0.7623645896855982,0.603474207140928
0.4083292763926343,0.9637112630698789,0.7006578299553752
0.3921693261451692,0.805005606008242,1.030556616567607
0.4193107499905022,0.7679522595538715,0.6724307900586697
0.4605570868795309,0.8169484952174898,0.5954800825220548
0.640940874759552,0.7877850529833142,0.796333730228295
0.601589208833429,0.6168840097089665,0.5554093807630999
0.754834116400501,0.5384336686229492,0.5669872981077807
0.6362717051577664,0.7620841011548353,0.9300594242448122
0.7365780478566735,0.6455026455026456,0.6877316526810199
0.7569050530907722,0.7338880864094531,1.0115493154779207
0.7569412454800988,0.8414670682829183,0.819047619047619
0.5871802232605288,0.5489482714951333,1.0509647191437625
0.837951804171848,0.522468473095306,1.0202575300852679
1.0517007763000183,0.6861714775423606,1.0129261122388247
0.6474426639653972,0.4077799077360179,0.636303516273346
0.7720981110078108,0.720058315110494,0.7060276321039344
0.8851455874396791,0.768243736076393,0.6982997950187586
0.4343852430339167,0.7160493827160495,0.6529570540541183
0.6224707193895669,0.4852137056182868,0.7415817916339247
0.7351257733039767,0.5218234336013227,1.0599982164885628
0.5625984998508458,0.6699404511335196,0.7896449812527515
0.6075949367088608,0.6077296816427245,0.6629107490108384
0.5621054816743412,0.7322132025199646,0.7669357525788636
0.46042679782412366,0.6949169221670395,0.6523666603640167
0.5401523483762682,0.6189682622337278,0.7171867150562805
0.7252226244653075,0.7365079365079366,0.6034600634376595
0.6370397666456604,0.5995585284737881,0.8247480148104278
0.4277074201140808,0.43160143994119493,0.5501804531093211
0.6997218358234125,0.38591988429747004,0.47821328982420463
0.6020585067605508,0.43956043956043955,0.5899719545224315
0.4,0.4007752932975768,0.7562020845803146
0.6386683259637421,0.23495930211818494,0.6446811272422026
0.3952787503327896,0.4717883254131756,0.9931295407854884
0.6123009427323672,0.5846932528614246,1.038662233651353
0.5362683729315265,0.7348025823472817,0.9330350469817574
0.6718612031045228,0.3310683612913382,0.9578160447039539
0.4865286737379494,0.4857346361372715,0.8588770452789315
0.5849342333808776,0.6790166623790216,0.745144645510978
0.8852071957210296,0.7318503636776976,0.5706816411216884
0.6885489385658955,0.609568294454111,0.6392092992175018
0.46880207072506674,0.589109298193341,0.7789104007093296
0.6072077975752137,0.5418515004975104,0.4790395536568789
0.738553197801643,0.5700295976743159,0.5297334330370917
0.705625472060439,0.5599954887166652,0.877748427169092
0.9461618097941834,0.5599137705766479,1.0833876398450166
0.5904030633314366,0.6186149643017631,0.8435324019872743
0.768243736076393,0.6107505279192385,1.1774175796776984
0.738553197801643,0.45505073908693383,0.6234812043616729
0.723590672367743,0.3678604587589861,0.8476682483759929
0.7087979760721976,0.5486177052626662,0.8067989782353324
0.7503736441390325,0.568898463117717,0.5738154787543601
0.33347101158179726,0.389803456414632,0.5330507832935711
0.6312666925240982,0.29562393183798696,0.3757784770992676
0.6336032541868504,0.7436437483111668,0.6971034966423486
0.47740493608117396,0.3338654833744892,0.40480416302602074
0.4626021940136792,0.6198818172363958,0.9318329110554582
0.8062931732667911,0.6688368286267661,0.8538675668396825
0.5269276386893817,0.5363995544282465,0.7363450011798613
0.7312854430027222,0.7701793200592707,0.7249598653885662
0.5570384696307094,0.5058104333300657,0.8744419317649762
0.7532430079217565,0.3724649574556611,0.6038073349736952
0.7372929326006272,0.41063242505299413,0.5670290247257131
0.7294654150301702,0.5952296832919617,0.8417150376956815
0.4700293982081878,0.3318470109916335,0.6149726270602038
0.31197878836557524,0.3104165640119294,0.6815077768139897
0.5751289712845711,0.40846534788730526,0.5361970323314966
0.4250110915000541,0.5471531524993634,0.5913260390498697
0.4471837677686691,0.2340257210422435,0.4318550915089352
0.4303928589931574,0.635577225819178,0.8558992459339495
0.6059447968804497,0.8502481075558046,0.829284160089472
0.372195549059114,0.7728900104169325,0.6303893645227137
0.6923023055847519,0.5950715365544008,0.7112873092826585
0.4471837677686691,0.5849798614529529,0.7592419685477436
0.510194633500046,0.23638253999997594,0.6584367680110464
0.7072299781154401,0.4122461863547413,0.5382330177711883
0.32562005663181914,0.33568101246204296,0.3615096202392598
0.8983815398583845,0.5647058823529412,0.6380828647173191
0.7828054114883328,0.5275046712255143,0.42150533085581643
0.5821445529813275,0.3628583736529565,0.5678257671036817
0.7183579626245861,0.4420077855782293,0.6778324780289533
0.5771099683889689,0.5604736055809303,0.577896371837063
0.6319104452717424,0.34336216133907327,0.6252276172884679
0.5687383568610993,0.5637574400689964,0.8723048287942334
0.8796141469142308,0.5690965892910409,0.7386978662143947
0.7952724084521753,0.6435468845283973,0.6354147615710548
0.4576738554533595,0.4294638153907214,0.8051789321414025
0.5453011382768583,0.42330418046916385,0.6727791511961156
0.5771099683889689,0.17942321408563133,0.47719437523666364
0.7184210695000265,0.3013892063543411,0.8270468897311407
0.5658119723970225,0.24259581052549073,0.5095650461678081
0.5878106517764589,0.2868332515144085,0.6961051848050699
0.8478557002516492,0.5247545251206547,0.46652105297433366
0.6137818130983471,0.49585536858089163,0.31757217347912003
0.40373663607554355,0.428046947640235,0.5188734500807078
0.7486493841975861,0.4095252411740097,0.4467892313351586
0.44225738181535457,0.4557558846921579,0.6311966693864677
0.5869305749731546,0.23701005999394442,0.5839943138663751
0.49755323081336866,0.5662893913043604,0.8558992459339495
0.7383568611159808,0.6975802848238566,0.8719631200671041
0.60188770173161,0.7440136522411638,0.7782336187136282
0.7002379576969846,0.45134355851317765,0.6367808084523768
0.41961131420278686,0.5674613239072142,0.8239836240643168
0.5679458591527395,0.1690924052448639,0.3416244948618722
0.7960081595104327,0.46100456186999494,0.7944736553085636
0.35650764451506944,0.32008894078432004,0.5111923466300561
0.35007654783444553,0.3459581113046858,0.6557377049180328
0.5259725494888583,0.22059742119787362,0.3838462921277106
0.7689389101549762,0.656147783373659,0.921723867616993
0.6657720106179011,0.5712884853981275,0.8443064548238909
0.5105421962042067,0.4642687674174585,0.6734838275518279
0.6565968152957038,0.4098272540662349,0.8475319244063094
0.6959132351550517,0.673102574493555,1.0173596112416459
0.40373026185925076,0.36448280197574456,0.4769706524405767
0.4934485650962731,0.7607772698450782,0.7930639569140265
0.9898616822554588,0.7536231884057971,0.6035764553348446
0.5780449655233957,0.7362478106416852,0.9570858924577126
0.8873421522296105,0.7359364956571854,0.7891398954555342
0.6663077612239844,0.6470607530952026,0.6394231604441987
0.5644162557626415,0.6138375859939562,0.7212471040472587
0.8284278518703162,0.6018267448074435,0.7753169009476416
0.5977824902950768,0.4650441077816989,0.49356213074931354
0.5283169536184691,0.5792684926567846,0.6859420909190196
0.635067500871175,0.5865068281075645,0.7135190889940168
0.5729279742926641,0.5100331746371011,0.6859420909190196
0.8582920632222993,0.8362839508472167,1.078733729501811
0.8229922203894957,0.3889831968068651,0.5732035970610563
0.6128892774689041,0.48198867961521186,0.9383485200714893
0.45112217589465,0.7478677049833198,0.6296007500066929
0.45414362358449145,0.6241888447426747,0.7106715435513546
0.6366720031802447,0.4668466572392671,0.9206996360938878
0.6295607356793322,0.6765496797366933,0.9704281565145914
0.9538793269682836,0.7019974220272258,1.0
0.6061858353487524,0.9559079720824623,0.6904189026434981
0.9085816455576272,0.31726693886836765,0.7377347358435189
0.7959390702793155,0.7389928222039146,0.8413516227745336
0.8130628847892094,0.4116913116277461,0.5045985875037526
0.31086986667700756,0.5480689346390474,0.7698806775806724
0.5636007827788649,0.6635738293104414,0.7051453799933822
0.5931426787944033,0.517194678520885,0.6851354345920605
0.7701357500925414,0.41717086501609146,0.798285786701783
0.6196610678443701,0.39215032622836365,0.7608923225097602
0.8730971493444359,0.6632328590388974,0.987630837736709
0.570831351756806,0.5260588863608615,0.5902260534402703
0.6372012552540067,0.5027177121797519,0.5515650222793331
0.3575807971417422,0.5232867123383351,0.5678257671036817
0.5197798970161926,0.39431170784333447,0.44974927663352204
0.4558124664901475,0.46415863680934843,0.6185810588889123
