stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,text.started,stimulus_image.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,text.stopped,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 76
neg_1.jpg,0.0,255.0,255.0,0.0,1065.2685885134524,,,,,,,,,,,,,,,,,,,,,,,1065.2386107142663,,1065.2386400796686,1065.2386466369917,1065.2685885134524,1066.2565592472647,1066.2682458220588,1067.242481815546,1067.2660188982045,1067.4895178343504,1067.489525532077,1067.5856305108246,1067.5856305108246,1067.5856305108246,1067.5856305108246,1067.5856305108246,1067.5856305108246,0.0009002776596389,1068.2453647567845,[-165.0],[-183.0],[1],[0],[0],[0.7516810267288747],1068.2462388764288,1068.249433147951,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_10.jpg,0.0,240.0,240.0,1.0,1010.8831385285766,,,,,,,,,,,,,,,,,,,,,,,1010.8722000587876,1010.8831385285766,1011.871446821965,1011.8714542345906,1011.8946942420152,1012.8944142728396,1012.9061045539464,1013.8803590789984,1013.903860809134,1014.1274421394664,1014.1274492669908,1014.211710010096,1014.211710010096,1014.211710010096,1014.211710010096,1014.211710010096,1014.211710010096,0.0054273963232844,1015.365380585592,[-122.0],[-237.0],[1],[0],[0],[1.234215312260858],1015.3662501436202,1015.3695037161488,,,,,,,1011.8946942420152,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_100.jpg,0.0,340.0,340.0,2.0,1448.2481003008106,,,,,,,,,,,,,,,,,,,,,,,1448.218816152339,,1448.2188480836503,1448.2188552111766,1448.2481003008106,1449.236086144976,1449.247745064973,1450.2220149854784,1450.2455161454127,1450.4690940545331,1450.4691111605916,1450.5886465942258,1450.5886465942258,1450.5886465942258,1450.5886465942258,1450.5886465942258,1450.5886465942258,0.0002770468909147,1453.4011613303846,[-315.0],[-164.0],[1],[0],[0],[2.9258158663833456],1453.4021959618858,1453.4054863124438,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_101.jpg,0.0,231.0,231.0,3.0,973.0110043281184,,,,,,,,,,,,,,,,,,,,,,,972.980914484242,,972.9809472708566,972.9809543983812,973.0110043281184,973.998975917234,974.0106633473306,974.98489991102,975.0084267300426,975.2319319384104,975.231939351036,975.3162702289846,975.3162702289846,975.3162702289846,975.3162702289846,975.3162702289846,975.3162702289846,0.0010051948247564,976.881579026146,[-216.0],[-99.0],[1],[0],[0],[1.6459413450320426],976.8824434523568,976.8856134902944,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_102.jpg,0.0,365.0,365.0,4.0,1554.9488605796269,,,,,,,,,,,,,,,,,,,,,,,1554.9198321667482,,1554.919865238462,1554.9198723659883,1554.9488605796269,1555.9368449982885,1555.9485130415178,1556.922753311519,1556.9462886835718,1557.169941004051,1557.1699489868788,1557.2894439361737,1557.2894439361737,1557.2894439361737,1557.2894439361737,1557.2894439361737,1557.2894439361737,9.77183663053438e-05,1557.8791231661944,[-229.0],[-285.0],[1],[0],[0],[0.7022274085247773],1557.8802056946645,1557.8835131512806,,1557.2894439361737,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_103.jpg,0.0,203.0,203.0,5.0,861.4880002417658,,,,,,,,,,,,,,,,,,,,,,,861.4579360569796,,861.4579691286945,861.4579762562189,861.4880002417658,862.4759752520931,862.4877162811772,863.4619043776975,863.485424639397,863.7089734682168,863.7089808808423,863.7815137095095,863.7815137095095,863.7815137095095,863.7815137095095,863.7815137095095,863.7815137095095,0.0010262922987749,864.9821871750737,[-280.0],[-51.0],[1],[0],[0],[1.2702326908774921],864.983008836135,864.986206813971,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_104.jpg,0.0,171.0,171.0,6.0,744.9781136520896,,,,,,,,,,,,,,,,,,,,,,,744.9477238819691,,744.9477566685837,744.947763511007,744.9781136520896,745.9660883773167,745.9777663990808,746.9520266261525,746.9755320626,747.1990831722278,747.1991005633881,747.2597783225747,747.2597783225747,747.2597783225747,747.2597783225747,747.2597783225747,747.2597783225747,0.0013587200555775,748.2015815122268,[-253.0],[-310.0],[1],[0],[0],[1.0001964345838132],748.2022954051126,748.2054360776492,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_105.jpg,0.0,122.0,122.0,7.0,532.2117128611053,,,,,,,,,,,,,,,,,,,,,,,532.1810613682737,,532.181093299585,532.1811004271103,532.2117128611053,533.1996984201696,533.2113718803184,534.1856078738056,534.2091309865154,534.4326396160941,534.4326467436194,534.4816938078066,534.4816938078066,534.4816938078066,534.4816938078066,534.4816938078066,534.4816938078066,0.0015674139831389,536.0349274375212,[-288.0],[-264.0],[1],[0],[0],[1.6006581841511434],536.0355098988493,536.0387147191086,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_106.jpg,0.0,87.0,87.0,8.0,393.3196201656492,,,,,,,,,,,,,,,,,,,,,,,393.2888024589392,,393.2888343902505,393.2888415177749,393.3196201656492,394.307560678757,394.31924383233945,395.2935049147136,395.31700921075753,395.5405400782147,395.54054749084025,395.577809050189,395.577809050189,395.577809050189,395.577809050189,395.577809050189,395.577809050189,0.0017410404871043,396.7425917219789,[-250.0],[-206.0],[1],[0],[0],[1.2009363286797452],396.7431317032588,396.7463368086192,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
neg_107.jpg,0.0,11.0,11.0,9.0,58.0684205319476,,,,,,,,,,,,,,,,,,,,,,,58.03739413131007,,58.03742663282355,58.037433760348,58.0684205319476,59.056391265759885,59.068077840554,60.04231326383888,60.06587999700059,60.28935070814805,60.2893578356734,60.3030341302956,60.3030341302956,60.3030341302956,60.3030341302956,60.3030341302956,60.3030341302956,0.0019443174951447,61.10326842629093,[-81.0],[-164.0],[1],[0],[0],[0.8135171512476518],61.10367811641754,61.10684530334584,,,,,,,,,,,,,,,ED30,1,2024-02-02_15h39.26.963,rating,2023.2.3,84.8943518798063,2024-02-02 15h39.39.794993 +0800,
