stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,text.started,stimulus_image.stopped,text.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 76
neg_1.jpg,0.0,316.0,316.0,0.0,1045.823513932457,,,,,,,,,,,,,,,,,,,,,,,1045.795947232367,,1045.795976027568,1045.7959828699911,1045.823513932457,1046.806862038773,1046.823505379427,1047.8068426519058,1047.8068426519058,1048.156858004595,1048.0404030871869,1048.040411640217,1048.156858004595,1048.156858004595,1048.156858004595,1048.156858004595,1048.156858004595,1048.156858004595,0.1109407078311051,1048.7582563109245,[-196.0],[123.0],[1],[0],[0],[0.6000506339369167],1048.7592738363674,1048.7631794348672,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_10.jpg,0.0,378.0,378.0,1.0,1243.0443600038652,,,,,,,,,,,,,,,,,,,,,,,1243.0173595143478,,1243.0173917307602,1243.0173991433858,1243.0443600038652,1244.0277343394737,1244.0444053349238,1245.0277380457865,1245.0277380457865,1245.3944777078104,1245.2612924939458,1245.2613007618747,1245.3944777078104,1245.3944777078104,1245.3944777078104,1245.3944777078104,1245.3944777078104,1245.3944777078104,0.1271854772985534,1245.5128045983363,[-224.0],[177.0],[1],[0],[0],[0.11656496639079705],1245.51394870862,1245.5170585902488,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_100.jpg,0.0,350.0,350.0,2.0,1156.2924851084626,,,,,,,,,,,,,,,,,,,,,,,1156.2652670868863,,1156.2652984479955,1156.26530557552,1156.2924851084626,1157.275858588766,1157.292523311995,1158.2759064857328,1158.2759064857328,1158.625891047515,1158.5094424023282,1158.509450385156,1158.625891047515,1158.625891047515,1158.625891047515,1158.625891047515,1158.625891047515,1158.625891047515,0.1106521856272593,1158.9774633367251,[-64.0],[105.0],[1],[0],[0],[0.35001364208255836],1158.9785544182232,1158.9817549619693,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_101.jpg,0.0,283.0,283.0,3.0,935.0877754681424,,,,,,,,,,,,,,,,,,,,,,,935.0601420544208,,935.0601702794193,935.0601768367414,935.0877754681424,936.0711318423872,936.0877777489512,937.0711871519798,937.0711871519798,937.4044819016452,937.3046677589828,937.3046757418106,937.4044819016452,937.4044819016452,937.4044819016452,937.4044819016452,937.4044819016452,937.4044819016452,0.0943697828297445,938.3057226326564,[-159.0],[114.0],[1],[0],[0],[0.9000299070939946],938.3068621813236,938.3099903094172,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_102.jpg,0.0,226.0,226.0,4.0,750.417128696583,,,,,,,,,,,,,,,,,,,,,,,750.3891411874283,,750.3891694124268,750.3891762548501,750.417128696583,751.4005874220857,751.4171463728453,752.4005500738549,752.4005500738549,752.7171840917072,752.6341298960033,752.6341604018089,752.7171840917072,752.7171840917072,752.7171840917072,752.7171840917072,752.7171840917072,752.7171840917072,0.0780785419010499,753.0516500362501,[-124.0],[76.0],[1],[0],[0],[0.3334792100085906],753.052517028369,753.055577017325,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_103.jpg,0.0,348.0,348.0,5.0,1150.0423737052497,,,,,,,,,,,,,,,,,,,,,,,1150.0150313796405,,1150.0150630258504,1150.015070438476,1150.0423737052497,1151.025745189847,1151.0423899560064,1152.025772274441,1152.025772274441,1152.3757984609674,1152.2592979274011,1152.2593064804314,1152.3757984609674,1152.3757984609674,1152.3757984609674,1152.3757984609674,1152.3757984609674,1152.3757984609674,0.1107964467300917,1152.49399249443,[-238.0],[155.0],[1],[0],[0],[0.11661371866102854],1152.4950770186078,1152.4982159805368,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_104.jpg,0.0,12.0,12.0,6.0,51.73543739766683,,,,,,,,,,,,,,,,,,,,,,,51.70624220070568,,51.70627099590638,51.706277553228574,51.73543739766683,52.718802610042985,52.73545507392737,53.71881344388021,53.71881344388021,53.96882050012937,53.95239127032073,53.95239953824967,53.96882050012937,53.96882050012937,53.96882050012937,53.96882050012937,53.96882050012937,53.96882050012937,0.0125954054838075,54.98594224024964,[-177.0],[100.0],[1],[0],[0],[1.01681468634888],54.98636361951685,54.98944926756121,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_105.jpg,0.0,207.0,207.0,7.0,693.41591844287,,,,,,,,,,,,,,,,,,,,,,,693.3876538155491,,693.3876820405476,693.3876883127687,693.41591844287,694.3992605620642,694.4159312724132,695.3992839403454,695.3992839403454,695.7159547362262,695.632818431437,695.6328269844671,695.7159547362262,695.7159547362262,695.7159547362262,695.7159547362262,695.7159547362262,695.7159547362262,0.0783285754732787,695.9668418992405,[-221.0],[117.0],[1],[0],[0],[0.25001674968370935],695.9676609943926,695.9708395853595,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_106.jpg,0.0,264.0,264.0,8.0,870.0030300533508,,,,,,,,,,,,,,,,,,,,,,,869.9751639972183,,869.9751953583273,869.9752024858517,870.0030300533508,870.9864078101709,871.0030488700158,871.9864046740586,871.9864046740586,872.3197481759944,872.2199748027742,872.2199833558043,872.3197481759944,872.3197481759944,872.3197481759944,872.3197481759944,872.3197481759944,872.3197481759944,0.0946084123606851,872.6209180308979,[-181.0],[97.0],[1],[0],[0],[0.3000263148223894],872.6218303540754,872.6249770137329,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_107.jpg,0.0,171.0,171.0,9.0,570.446591888478,,,,,,,,,,,,,,,,,,,,,,,570.4182645389392,,570.4182959000482,570.4183030275726,570.446591888478,571.4299719261053,571.4466320877164,572.4300414907466,572.4300414907466,572.7299965303209,572.6635055618917,572.6635135447195,572.7299965303209,572.7299965303209,572.7299965303209,572.7299965303209,572.7299965303209,572.7299965303209,0.0617844499647617,573.464184045235,[-203.0],[-41.0],[1],[0],[0],[0.7333909427397884],573.4648705684249,573.467941106117,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
neg_108.jpg,0.0,160.0,160.0,10.0,537.8958967980016,,,,,,,,,,,,,,,,,,,,,,,537.8673388017596,,537.8673675969603,537.8673741542825,537.8958967980016,538.8792622954788,538.895941843959,539.8792936565878,539.8792936565878,540.1793470560042,540.1128304284866,540.1128392666178,540.1793470560042,540.1793470560042,540.1793470560042,540.1793470560042,540.1793470560042,540.1793470560042,0.0620578618163563,541.1800626594959,[-101.0],[-67.0],[1],[0],[0],[0.9999749111138954],541.1808153261172,541.1839648367841,,,,,,,,,,,,,,ED31,1,2024-02-02_16h42.47.168,rating,2023.2.3,60.01747037280097,2024-02-02 16h43.00.587907 +0800,
