stimulus_filename,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_key_resp.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,instruction.started,instruction_image.started,instruction_key_resp.started,instruction.stopped,instruction_key_resp.keys,instruction_key_resp.rt,instruction_key_resp.duration,start.started,start_image.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_info.started,block_text.started,block_info.stopped,img_presentation.started,ISI_text.started,stimulus_image.started,ISI_text.stopped,text.started,stimulus_image.stopped,img_presentation.stopped,evaluation.started,horizontal_polygon.started,vertical_polygon.started,ha_text.started,la_text.started,negative_text.started,positive_text.started,mouse.started,evaluation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,rest.started,rest.stopped,key_resp_2.keys,rest_image.started,key_resp_2.started,key_resp_2.rt,key_resp_2.duration,block_text.stopped,text.stopped,end.started,end_image.started,key_resp_3.started,end.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 76
neg_1.jpg,0.0,202.0,202.0,0.0,1397.7631184232546,,,,,,,,,,,,,,,,,,,,,,,1397.732999499077,,1397.7330308601868,1397.7330379877117,1397.7631184232546,1398.7510900123707,1398.7627740212552,1399.7370122955504,1399.7605356933614,1399.9840497398595,1399.9840580077885,1400.056622197564,1400.056622197564,1400.056622197564,1400.056622197564,1400.056622197564,1400.056622197564,0.0010416877521493,1404.0799186549848,[-243.0],[-207.0],[1],[0],[0],[4.092949766060428],1404.0807232099864,1404.0838724355522,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_10.jpg,0.0,265.0,265.0,1.0,1800.772502807532,,,,,,,,,,,,,,,,,,,,,,,1800.7426761118722,,1800.7427077580828,1800.7427160260113,1800.772502807532,1801.760459571396,1801.7721504227047,1802.746388126798,1802.7699229286488,1802.993423005198,1802.993431273127,1803.08952057132,1803.08952057132,1803.08952057132,1803.08952057132,1803.08952057132,1803.08952057132,0.0007377700940196,1804.2197609770296,[-263.0],[-361.0],[1],[0],[0],[1.2220318064369167],1804.220686129751,1804.2238296532971,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_100.jpg,0.0,60.0,60.0,2.0,502.5917909730754,,,,,,,,,,,,,,,,,,,,,,,502.5809454462101,502.5917909730754,503.58003853995206,503.58004623767897,503.603366928684,504.6030977933467,504.61477952142377,505.5890183659208,505.6125426190347,505.83603072134247,505.8360389892714,505.87336384104015,505.87336384104015,505.87336384104015,505.87336384104015,505.87336384104015,505.87336384104015,0.0052640334549778,508.83767404346463,[-349.0],[-363.0],[1],[0],[0],[3.0008216610610816],508.8381729702021,508.8412788604171,,,,,,503.603366928684,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_101.jpg,0.0,323.0,323.0,3.0,2123.19182963277,,,,,,,,,,,,,,,,,,,,,,,2123.162380410825,,2123.162412057035,2123.16241918456,2123.19182963277,2124.179761307747,2124.1914242191583,2125.165661353049,2125.189187316769,2125.4126950910454,2125.4127033589743,2125.5205530731178,2125.5205530731178,2125.5205530731178,2125.5205530731178,2125.5205530731178,2125.5205530731178,0.0003052718880098,2126.898227498618,[-279.0],[-332.0],[1],[0],[0],[1.479764244287253],2126.8992991932496,2126.902429887251,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_102.jpg,0.0,211.0,211.0,4.0,1471.331589560628,,,,,,,,,,,,,,,,,,,,,,,1471.3017198147186,,1471.3017545970397,1471.3017622947664,1471.331589560628,1472.3195582987337,1472.33130303413,1473.305482007419,1473.3290056903306,1473.5525462512214,1473.5525542340492,1473.6250169278717,1473.6250169278717,1473.6250169278717,1473.6250169278717,1473.6250169278717,1473.6250169278717,0.0008133218570947,1475.249171140139,[-415.0],[-347.0],[1],[0],[0],[1.6934859269877052],1475.250031004733,1475.2531910641364,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_103.jpg,0.0,201.0,201.0,5.0,1392.258716321376,,,,,,,,,,,,,,,,,,,,,,,1392.2284542765003,,1392.22848563761,1392.2284924800338,1392.258716321376,1393.246680212765,1393.2583921615474,1394.232608483066,1394.2561321659778,1394.479646212476,1394.4796541953035,1394.5522443292698,1394.5522443292698,1394.5522443292698,1394.5522443292698,1394.5522443292698,1394.5522443292698,0.0011836680469059,1397.728809369787,[-421.0],[-351.0],[1],[0],[0],[3.2460649648228355],1397.729611643981,1397.7327591589406,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_104.jpg,0.0,69.0,69.0,6.0,558.8237645362306,,,,,,,,,,,,,,,,,,,,,,,558.8046125919413,,558.8046442381517,558.8046513656764,558.8237645362306,559.8235452935671,559.8352338640677,560.8094766999789,560.8330183442531,561.0565090124701,561.0565167101968,561.0937996521197,561.0937996521197,561.0937996521197,561.0937996521197,561.0937996521197,561.0937996521197,0.0018870121957661,562.3292255031961,[-391.0],[-354.0],[1],[0],[0],[1.2717713809349789],562.3297785991219,562.3329586155951,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_105.jpg,0.0,63.0,63.0,7.0,520.6576019756358,,,,,,,,,,,,,,,,,,,,,,,520.6266194805517,,520.6266519820649,520.6266588244887,520.6576019756358,521.6455838283873,521.6572578587375,522.6314984138405,522.6550534578616,522.8785298710288,522.8785375687555,522.9158190851736,522.9158190851736,522.9158190851736,522.9158190851736,522.9158190851736,522.9158190851736,0.0018998417403963,524.7511381944382,[-387.0],[-364.0],[1],[0],[0],[1.8717815305305976],524.7516855883443,524.7547301818458,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_106.jpg,0.0,156.0,156.0,8.0,1112.392733459937,,,,,,,,,,,,,,,,,,,,,,,1112.3623978590056,,1112.3624295052157,1112.3624363476397,1112.392733459937,1113.3807013427402,1113.392422984956,1114.3666304683438,1114.3901490194378,1114.6137140990138,1114.6137232222457,1114.6745298470803,1114.6745298470803,1114.6745298470803,1114.6745298470803,1114.6745298470803,1114.6745298470803,0.0013099677864829,1117.1450950227354,[-255.0],[-260.0],[1],[0],[0],[2.5292643339512324],1117.1457972264805,1117.1490074636588,,,,,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
neg_107.jpg,0.0,119.0,119.0,9.0,878.6908390493707,,,,,,,,,,,,,,,,,,,,,,,878.660226615375,,878.6602588317871,878.6602656742111,878.6908390493707,879.6788134894964,879.6904735498979,880.6647143901018,880.6882403538216,880.9117452770881,880.911752974815,880.9608197109703,880.9608197109703,880.9608197109703,880.9608197109703,880.9608197109703,880.9608197109703,0.0015092533803908,887.4068938560451,[-244.0],[-326.0],[1],[0],[0],[6.493592782839414],887.4075122400984,891.6407373966117,space,887.4296460556704,887.4296460556704,4.200887576410651,,,,,,,,,,,ED28,1,2024-02-02_14h00.22.905,rating,2023.2.3,85.10300836343751,2024-02-02 14h00.35.241320 +0800,
