MaxPool1,MaxPool2,MaxPool3,MaxPool4,MaxPool5,classifing
0.8373351097106934,0.9026430249214172,0.9285427331924438,0.9241471886634827,0.8933432102203369,0.631372332572937
0.8391478061676025,0.8892401456832886,0.9147483706474304,0.9293758273124695,0.9378530383110046,0.7082940936088562
0.7192196846008301,0.7890592217445374,0.7877098917961121,0.7486544847488403,0.6498756408691406,0.2877567410469055
0.8938688635826111,0.9149728417396545,0.9212883114814758,0.9388600587844849,0.9357852935791016,0.8047336935997009
0.8174901008605957,0.8316746950149536,0.8264625072479248,0.7754741311073303,0.7257260084152222,0.44111597537994385
0.7979577779769897,0.8263289928436279,0.8123661279678345,0.7282289266586304,0.6756368279457092,0.4815117120742798
0.8554961681365967,0.9136233925819397,0.917589545249939,0.9183943271636963,0.8846147060394287,0.7406235933303833
0.840390682220459,0.8706865310668945,0.853800892829895,0.8000678420066833,0.6507498621940613,0.39108598232269287
0.8110570311546326,0.8515853881835938,0.8385754227638245,0.7937065958976746,0.6953730583190918,0.45536160469055176
0.7892813682556152,0.8241612315177917,0.8241743445396423,0.7878575921058655,0.6751126050949097,0.40330958366394043
0.8804712891578674,0.91226726770401,0.9173089265823364,0.9073324799537659,0.8985474705696106,0.7573709487915039
0.8624268770217896,0.838782787322998,0.8107064962387085,0.7588074207305908,0.6862316131591797,0.3217887282371521
0.8239272236824036,0.8311669826507568,0.8363409638404846,0.7946374416351318,0.7018737196922302,0.3610413670539856
0.8262193202972412,0.825314998626709,0.813496470451355,0.7214648723602295,0.5208801031112671,0.3856865167617798
0.8598164319992065,0.8702706694602966,0.8387764692306519,0.7733772993087769,0.602644681930542,0.241901695728302
0.8564537763595581,0.9026864767074585,0.9107790589332581,0.8940145373344421,0.8926153779029846,0.6403481960296631
0.7696411609649658,0.8511737585067749,0.8790674209594727,0.860176146030426,0.7478289604187012,0.40057986974716187
0.7686097025871277,0.8409630060195923,0.875906229019165,0.8666535019874573,0.7941588759422302,0.4329880475997925
0.8266168236732483,0.8569714426994324,0.8861846923828125,0.893227756023407,0.8396834135055542,0.531546413898468
0.8084653615951538,0.857755720615387,0.8526613116264343,0.8336650729179382,0.6729730367660522,0.3674103021621704
0.8695995807647705,0.8910208344459534,0.902546763420105,0.8901671767234802,0.7733069658279419,0.41383814811706543
0.8881544470787048,0.9469483494758606,0.9209307432174683,0.8873369097709656,0.9389498233795166,0.8175705671310425
0.8404799699783325,0.9055511355400085,0.8865155577659607,0.9042751789093018,0.8300870060920715,0.6279283761978149
0.8468266725540161,0.9271518588066101,0.916367769241333,0.9318248629570007,0.9110736846923828,0.6617938876152039
0.8784874677658081,0.9272657036781311,0.9260759353637695,0.923044741153717,0.8593399524688721,0.6483995318412781
0.8442204594612122,0.8964371085166931,0.8771660327911377,0.8682000637054443,0.8157623410224915,0.5450303554534912
0.8284047245979309,0.8816565275192261,0.8511476516723633,0.838318407535553,0.8029647469520569,0.5988081693649292
0.8353478908538818,0.914526104927063,0.9205498695373535,0.9077619910240173,0.8737545609474182,0.6786677837371826
0.8781801462173462,0.919409453868866,0.9271054267883301,0.9220759272575378,0.9391509890556335,0.630885124206543
0.7888794541358948,0.8474337458610535,0.8669970035552979,0.8347402811050415,0.7375564575195312,0.3900490403175354
0.7871434688568115,0.8539555072784424,0.8832353353500366,0.8458371758460999,0.7503081560134888,0.41851651668548584
0.8371418714523315,0.8686475157737732,0.9007216691970825,0.8717818260192871,0.7806347012519836,0.614838719367981
